timesteps,reward,episode_length
40,0.0,5
40,0.0,5
40,0.0,5
40,0.0,5
80,0.0,5
80,0.0,5
120,0.0,5
120,0.0,5
128,1.0,16
128,1.0,16
160,0.0,5
168,1.0,16
168,0.0,5
176,1.0,17
184,2.0,23
192,0.0,3
200,0.0,5
208,0.0,3
208,0.0,5
216,0.0,5
232,0.0,3
232,0.0,5
232,1.0,14
240,0.0,5
256,0.0,3
264,1.0,17
272,0.0,5
272,0.0,5
288,3.0,36
296,0.0,5
304,1.0,12
312,0.0,5
328,0.0,3
336,0.0,5
352,1.0,17
376,0.0,3
400,1.0,17
408,1.0,17
416,0.0,5
424,1.0,17
440,0.0,5
440,1.0,16
448,1.0,14
448,0.0,3
456,0.0,5
456,1.0,16
464,0.0,3
472,0.0,3
488,0.0,5
496,0.0,5
496,0.0,5
504,0.0,5
536,1.0,16
536,0.0,5
544,0.0,5
552,4.0,39
576,0.0,5
576,0.0,5
584,0.0,5
592,0.0,5
600,1.0,16
608,1.0,14
616,0.0,5
624,1.0,17
624,0.0,5
632,0.0,5
648,0.0,5
656,2.0,27
656,0.0,5
664,0.0,5
672,0.0,5
696,0.0,5
696,0.0,5
712,0.0,5
736,0.0,5
736,1.0,14
768,2.0,24
776,0.0,5
776,0.0,5
808,1.0,14
816,0.0,5
832,2.0,23
848,0.0,5
856,0.0,5
864,1.0,12
872,0.0,5
872,0.0,3
880,2.0,21
888,2.0,28
896,0.0,5
904,0.0,5
912,0.0,5
920,0.0,5
920,0.0,3
928,4.0,41
928,0.0,5
944,0.0,5
952,0.0,5
960,0.0,5
960,0.0,5
968,1.0,12
984,0.0,5
992,0.0,5
1000,0.0,5
1000,0.0,5
1008,0.0,5
1024,0.0,5
1024,1.0,12
1040,0.0,5
1040,0.0,5
1048,0.0,5
1064,0.0,5
1064,0.0,5
1080,0.0,5
1080,0.0,5
1104,0.0,5
1104,0.0,5
1104,4.0,41
1104,1.0,14
1120,0.0,5
1120,2.0,24
1120,0.0,5
1144,0.0,5
1144,0.0,5
1144,0.0,5
1144,0.0,5
1160,0.0,5
1168,0.0,3
1184,0.0,5
1192,0.0,3
1208,2.0,20
1232,0.0,5
1248,0.0,5
1256,1.0,17
1272,1.0,16
1272,0.0,5
1272,1.0,16
1280,0.0,3
1288,2.0,21
1296,0.0,3
1312,0.0,3
1312,1.0,16
1312,0.0,5
1312,0.0,5
